title,link,image,subtitle,pubDate,director,actor,userRating
어 골든 라이프,https://movie.naver.com/movie/bi/mi/basic.nhn?code=226521,https://ssl.pstatic.net/imgmovie/mdi/mit110/2265/226521_P01_165112.jpg,<b>A</b> Golden Life,2023,부바카르 상가레|,,0
어 우먼 인 마쿠에니,https://movie.naver.com/movie/bi/mi/basic.nhn?code=227554,https://ssl.pstatic.net/imgmovie/mdi/mit110/2275/227554_P01_180901.jpg,<b>A</b> Woman in Makueni,2023,다리아 비볼바|발레리 알루스키나|,,0
어 카인드 오브 테스터먼트,https://movie.naver.com/movie/bi/mi/basic.nhn?code=227557,https://ssl.pstatic.net/imgmovie/mdi/mit110/2275/227557_P01_180255.jpg,<b>A</b> Kind of Testament,2023,스테판 뷔유민|,,0
잇츠 어 데이트,https://movie.naver.com/movie/bi/mi/basic.nhn?code=227559,https://ssl.pstatic.net/imgmovie/mdi/mit110/2275/227559_P01_175932.jpg,It’s <b>a</b> Date,2023,나디아 파르판|,,0
어 러브 레터 투 플라스틱,https://movie.naver.com/movie/bi/mi/basic.nhn?code=227318,https://ssl.pstatic.net/imgmovie/mdi/mit110/2273/227318_P01_163930.png,<b>A</b> LOVE LETTER TO PLASTIC,2023,넬리 호카넨|,,0
투 스틱스 온 어 보드,https://movie.naver.com/movie/bi/mi/basic.nhn?code=227321,https://ssl.pstatic.net/imgmovie/mdi/mit110/2273/227321_P01_163533.png,TWO STICKS ON <b>A</b> BOARD,2023,에리카 카르시카스|,,0
어바웃 서티,https://movie.naver.com/movie/bi/mi/basic.nhn?code=226559,https://ssl.pstatic.net/imgmovie/mdi/mit110/2265/226559_P01_181842.jpg,About Thirty,2023,마르틴 샨리|,,0
웨이드 인 더 워터: 어 저니 인투 블랙 서핑 앤 아쿠아틱 컬처,https://movie.naver.com/movie/bi/mi/basic.nhn?code=226601,,Wade in the Water: <b>A</b> Journey Into Black Surfing and Aquatic Culture,2023,데이비드 메스핀|,,0
디스 이즈 낫 어 하우스,https://movie.naver.com/movie/bi/mi/basic.nhn?code=226645,,This is Not <b>a</b> House,2023,모건 네빌|,,0
우리 집에 유령이 산다,https://movie.naver.com/movie/bi/mi/basic.nhn?code=227748,,We Have <b>a</b> Ghost,2023,크리스토퍼 랜던|,데이빗 하버|안소니 마키|자히 디알로 윈스턴|,0
걸 인터넷 쇼: 어 카티 켈리 믹스테잎,https://movie.naver.com/movie/bi/mi/basic.nhn?code=226036,,Girl Internet Show: <b>A</b> Kati Kelli Mixtape,2023,케이티 켈리|,,0
블루프린트 오브 어 플레져 머신,https://movie.naver.com/movie/bi/mi/basic.nhn?code=226042,,Blueprint of <b>a</b> Pleasure Machine,2023,아미트 듀타|,,0
탄생,https://movie.naver.com/movie/bi/mi/basic.nhn?code=209280,https://ssl.pstatic.net/imgmovie/mdi/mit110/2092/209280_P56_105120.jpg,<b>A</b> Birth,2022,박흥식|,윤시윤|안성기|윤경호|이문식|이경영|신정근|이호원|,9.07
더 킬러: 죽어도 되는 아이,https://movie.naver.com/movie/bi/mi/basic.nhn?code=217720,https://ssl.pstatic.net/imgmovie/mdi/mit110/2177/217720_P46_152034.jpg,THE KILLER _ <b>A</b> GIRL WHO DESERVES TO DIE,2022,최재훈|,장혁|브루스 칸|이서영|이승준|,6.98
엔시티 드림 더 무비 : 인 어 드림,https://movie.naver.com/movie/bi/mi/basic.nhn?code=213252,https://ssl.pstatic.net/imgmovie/mdi/mit110/2132/213252_P00_095407.jpeg,NCT DREAM THE MOVIE : In <b>A</b> DREAM,2022,이예지|오윤동|,마크|런쥔|제노|해찬|재민|천러|지성|,9.2
체리마호: 30살까지 동정이면 마법사가 될 수 있대,https://movie.naver.com/movie/bi/mi/basic.nhn?code=213471,https://ssl.pstatic.net/imgmovie/mdi/mit110/2134/213471_P11_113350.jpg,CHERRY MAGIC! THIRTY YEARS OF VIRGINITY CAN MAKE YOU <b>A</b> WIZARD?! THE MOVIE,2022,카자마 히로키|,아카소 에이지|마치다 케이타|아사카 코다이|유타로|,8.72
"바르도, 약간의 진실을 섞은 거짓된 연대기",https://movie.naver.com/movie/bi/mi/basic.nhn?code=220466,https://ssl.pstatic.net/imgmovie/mdi/mit110/2204/220466_P01_173530.jpg,Bardo: False Chronicle of <b>a</b> Handful of Truths,2022,알레한드로 곤잘레스 이냐리투|,다니엘 기메네즈 카쵸|히메나 라마드리드|,7.05
극장판 전생했더니 슬라임이었던 건에 대하여: 홍련의 인연편,https://movie.naver.com/movie/bi/mi/basic.nhn?code=224606,https://ssl.pstatic.net/imgmovie/mdi/mit110/2246/224606_P00_161406.jpg,That Time I Got Reincarnated as <b>a</b> Slime the Movie: Scarlet Bond,2022,키쿠치 야스히토|,우치다 유우마|후쿠모토 리코|후루카와 마코토|토요구치 메구미|,7.06
통영에서의 하루,https://movie.naver.com/movie/bi/mi/basic.nhn?code=223080,https://ssl.pstatic.net/imgmovie/mdi/mit110/2230/223080_P01_135820.jpg,<b>A</b> Day in Tongyeong,2022,한경탁|,유인영|이미도|,6.83
더 게임,https://movie.naver.com/movie/bi/mi/basic.nhn?code=213300,https://ssl.pstatic.net/imgmovie/mdi/mit110/2133/213300_P12_142550.jpg,The Game,2022,페테르 퍼자카스|,,7.14
데이 투 다이,https://movie.naver.com/movie/bi/mi/basic.nhn?code=213441,https://ssl.pstatic.net/imgmovie/mdi/mit110/2134/213441_P01_102414.jpg,<b>A</b> DAY TO DIE,2022,웨스 밀러|,브루스 윌리스|프랭크 그릴로|케빈 딜런|지아니 카팔디|브룩 버틀러|,5.82
관계의 일변,https://movie.naver.com/movie/bi/mi/basic.nhn?code=213311,https://ssl.pstatic.net/imgmovie/mdi/mit110/2133/213311_P39_145613.jpg,<b>a</b> side of <b>a</b> relationship,2022,김기림|,김지민|권기범|정수지|박상현|윤영균|류준열|이원규|우현아|김현우|변에스더|,4.59
나이브스 아웃: 글래스 어니언,https://movie.naver.com/movie/bi/mi/basic.nhn?code=216494,https://ssl.pstatic.net/imgmovie/mdi/mit110/2164/216494_P08_173307.jpg,Glass Onion: <b>A</b> Knives Out Mystery,2022,라이언 존슨|,다니엘 크레이그|에드워드 노튼|자넬 모네|캐서린 한|레슬리 오덤 주니어|제시카 헨윅|케이트 허드슨|데이브 바티스타|매들린 클라인|,0
아동학대 자진신고 1년의 기록: 내 이웃의 아이,https://movie.naver.com/movie/bi/mi/basic.nhn?code=218832,https://ssl.pstatic.net/imgmovie/mdi/mit110/2188/218832_P01_154719.jpg,The Child Next Door: <b>A</b> Yearlong Record After Self-reporting of Child Abuse,2022,빈정현|,,0
환상의 반딧불,https://movie.naver.com/movie/bi/mi/basic.nhn?code=214636,https://ssl.pstatic.net/imgmovie/mdi/mit110/2146/214636_P01_150910.jpg,The Wonder of <b>a</b> Summer Day,2022,이바야시 유카|,,0
Planet <b>A</b>,https://movie.naver.com/movie/bi/mi/basic.nhn?code=219347,https://ssl.pstatic.net/imgmovie/mdi/mit110/2193/219347_P01_131803.JPG,Planet <b>A</b>,2022,이하루|,,0
로봇이 아닙니다.,https://movie.naver.com/movie/bi/mi/basic.nhn?code=218625,https://ssl.pstatic.net/imgmovie/mdi/mit110/2186/218625_P01_133944.png,I’m not <b>a</b> robot.,2022,강예솔|,,0
"졍서, 졍서",https://movie.naver.com/movie/bi/mi/basic.nhn?code=217752,https://ssl.pstatic.net/imgmovie/mdi/mit110/2177/217752_P01_084751.jpg,Girl at <b>a</b> Window,2022,손현록|,,0
미스터 플라스틱의 하루,https://movie.naver.com/movie/bi/mi/basic.nhn?code=221277,https://ssl.pstatic.net/imgmovie/mdi/mit110/2212/221277_P01_132425.jpg,<b>A</b> Day of Mr. Plastic,2022,정혜진|,,0
수라,https://movie.naver.com/movie/bi/mi/basic.nhn?code=220746,https://ssl.pstatic.net/imgmovie/mdi/mit110/2207/220746_P01_143653.jpg,Sura: <b>A</b> Love Song,2022,황윤|,,0
낯선 사랑,https://movie.naver.com/movie/bi/mi/basic.nhn?code=224638,https://ssl.pstatic.net/imgmovie/mdi/mit110/2246/224638_P00_142410.jpg,Love of <b>a</b> Brute,2022,이노우에 히로키|,호소다 요시히코|시부에 죠지|우사마루 마나미|,0
할리우드 크리스마스,https://movie.naver.com/movie/bi/mi/basic.nhn?code=225015,https://ssl.pstatic.net/imgmovie/mdi/mit110/2250/225015_P01_174811.jpg,<b>A</b> HOLLYWOOD CHRISTMAS,2022,알렉스 라나리벨로|,제시카 반|미시 파일|라일리 댄디|,0
그대 어이가리,https://movie.naver.com/movie/bi/mi/basic.nhn?code=205860,https://ssl.pstatic.net/imgmovie/mdi/mit110/2058/205860_P14_110254.jpg,<b>A</b> Song for My Dear,2022,이창열|,선동혁|정아미|김유미|장태훈|,0
크리스마스 스토리 크리스마스,https://movie.naver.com/movie/bi/mi/basic.nhn?code=225012,https://ssl.pstatic.net/imgmovie/mdi/mit110/2250/225012_P01_174526.jpg,<b>A</b> CHRISTMAS STORY CHRISTMAS,2022,클레이 케이티스|,피터 빌링슬리|어린 헤이즈|줄리 하거티|스콧 슈왈츠|R.D. 롭|이안 포터|,0
지금 이 순간에도,https://movie.naver.com/movie/bi/mi/basic.nhn?code=218835,https://ssl.pstatic.net/imgmovie/mdi/mit110/2188/218835_P01_162506.jpg,Not Even For <b>a</b> Moment Do Things Stand Still,2022,제이미 멜처|,,0
크리스마스 미스터리,https://movie.naver.com/movie/bi/mi/basic.nhn?code=225013,https://ssl.pstatic.net/imgmovie/mdi/mit110/2250/225013_P01_155136.jpg,<b>A</b> CHRISTMAS MYSTERY,2022,알렉스 라나리벨로|,,0
나의 자리를 찾아서,https://movie.naver.com/movie/bi/mi/basic.nhn?code=215027,https://ssl.pstatic.net/imgmovie/mdi/mit110/2150/215027_P01_130229.jpg,<b>A</b> Steady Job,2022,마티아 콜롬보|지아루카 마타레스|,,0
오늘의 장내,https://movie.naver.com/movie/bi/mi/basic.nhn?code=219319,https://ssl.pstatic.net/imgmovie/mdi/mit110/2193/219319_P01_215942.jpg,Inside <b>a</b> Funeral Hall,2022,이호현|,,0
"엄마, 영순",https://movie.naver.com/movie/bi/mi/basic.nhn?code=220077,https://ssl.pstatic.net/imgmovie/mdi/mit110/2200/220077_P01_102042.jpg,<b>A</b> Mother Youngsoon,2022,이창준|,,0
